station_id,station_name,radius_m,band,n_routes,n_destinations,n_departures,departures_per_hour,retention,grade,best_headway_min,expected_wait_min,nearest_bus_stop_m,usable
ESI,ESI Hospital,500,morning_peak,70,70,474,158.0,0.9362962962962963,maintained,3.75,0.18987341772151903,18.065188311115744,True
ESI,ESI Hospital,500,night,43,46,298,99.33333333333333,0.5886419753086419,maintained,5.294117647058823,0.3020134228187919,18.065188311115744,True
ESI,ESI Hospital,800,evening_peak,82,82,853,213.25,1.0,maintained,2.0689655172413794,0.14067995310668227,18.065188311115744,True
ESI,ESI Hospital,800,late_night,10,7,22,4.4,0.02063305978898007,collapsed,50.0,6.818181818181819,18.065188311115744,True
ESI,ESI Hospital,800,midday,94,81,1073,178.83333333333334,0.838608831574834,maintained,2.88,0.16775396085740915,18.065188311115744,True
ESI,ESI Hospital,800,morning_peak,84,73,589,196.33333333333334,0.920672137553732,maintained,2.5,0.15280135823429541,18.065188311115744,True
ESI,ESI Hospital,800,night,50,48,393,131.0,0.6143024618991794,maintained,2.769230769230769,0.22900763358778628,18.065188311115744,True
IRM,Erra Manzil,300,evening_peak,53,62,509,127.25,1.0,maintained,3.380281690140845,0.23575638506876231,37.35035384609007,True
IRM,Erra Manzil,300,late_night,4,4,9,1.8,0.014145383104125737,collapsed,50.0,16.666666666666664,37.35035384609007,True
IRM,Erra Manzil,300,midday,65,60,628,104.66666666666667,0.8225278323510151,maintained,3.5294117647058822,0.28662420382165604,37.35035384609007,True
IRM,Erra Manzil,300,morning_peak,46,48,346,115.33333333333333,0.9063523248199082,maintained,3.272727272727273,0.2601156069364162,37.35035384609007,True
IRM,Erra Manzil,300,night,29,32,242,80.66666666666667,0.6339227242960053,maintained,4.285714285714286,0.3719008264462809,37.35035384609007,True
IRM,Erra Manzil,500,evening_peak,56,68,538,134.5,1.0,maintained,3.380281690140845,0.22304832713754646,37.35035384609007,True
IRM,Erra Manzil,500,late_night,4,4,9,1.8,0.013382899628252789,collapsed,50.0,16.666666666666664,37.35035384609007,True
IRM,Erra Manzil,500,midday,66,65,657,109.5,0.8141263940520446,maintained,3.5294117647058822,0.273972602739726,37.35035384609007,True
IRM,Erra Manzil,500,morning_peak,48,52,367,122.33333333333333,0.909541511771995,maintained,3.272727272727273,0.2452316076294278,37.35035384609007,True
IRM,Erra Manzil,500,night,30,34,248,82.66666666666667,0.6146220570012392,maintained,4.285714285714286,0.36290322580645157,37.35035384609007,True
IRM,Erra Manzil,800,evening_peak,91,89,882,220.5,1.0,maintained,3.380281690140845,0.1360544217687075,37.35035384609007,True
IRM,Erra Manzil,800,late_night,10,8,28,5.6,0.025396825396825397,collapsed,42.857142857142854,5.357142857142858,37.35035384609007,True
IRM,Erra Manzil,800,midday,105,89,1045,174.16666666666666,0.7898715041572184,maintained,3.5294117647058822,0.1722488038277512,37.35035384609007,True
IRM,Erra Manzil,800,morning_peak,76,67,581,193.66666666666666,0.8783068783068783,maintained,3.272727272727273,0.15490533562822723,37.35035384609007,True
IRM,Erra Manzil,800,night,57,49,407,135.66666666666666,0.6152683295540438,maintained,3.6,0.22113022113022113,37.35035384609007,True
ERA,Erragadda,300,evening_peak,70,46,635,158.75,1.0,maintained,3.3333333333333335,0.18897637795275582,99.52483618429608,True
ERA,Erragadda,300,late_night,4,3,7,1.4,0.008818897637795276,no_service,100.0,21.428571428571427,99.52483618429608,True
ERA,Erragadda,300,midday,70,48,833,138.83333333333334,0.8745406824146982,maintained,3.6363636363636362,0.21608643457382956,99.52483618429608,True
ERA,Erragadda,300,morning_peak,59,37,439,146.33333333333334,0.9217847769028872,maintained,3.673469387755102,0.2050113895216401,99.52483618429608,True
ERA,Erragadda,300,night,37,26,230,76.66666666666667,0.4829396325459318,maintained,7.5,0.3913043478260869,99.52483618429608,True
ERA,Erragadda,500,evening_peak,70,46,635,158.75,1.0,maintained,3.3333333333333335,0.18897637795275582,99.52483618429608,True
ERA,Erragadda,500,late_night,4,3,7,1.4,0.008818897637795276,no_service,100.0,21.428571428571427,99.52483618429608,True
ERA,Erragadda,500,midday,70,48,833,138.83333333333334,0.8745406824146982,maintained,3.6363636363636362,0.21608643457382956,99.52483618429608,True
ERA,Erragadda,500,morning_peak,59,37,439,146.33333333333334,0.9217847769028872,maintained,3.673469387755102,0.2050113895216401,99.52483618429608,True
ERA,Erragadda,500,night,37,26,230,76.66666666666667,0.4829396325459318,maintained,7.5,0.3913043478260869,99.52483618429608,True
ERA,Erragadda,800,evening_peak,76,79,701,175.25,1.0,maintained,3.037974683544304,0.17118402282453632,99.52483618429608,True
ERA,Erragadda,800,late_night,8,7,15,3.0,0.017118402282453638,collapsed,60.0,10.0,99.52483618429608,True
ERA,Erragadda,800,midday,87,82,912,152.0,0.8673323823109843,maintained,3.6363636363636362,0.19736842105263158,99.52483618429608,True
ERA,Erragadda,800,morning_peak,79,70,494,164.66666666666666,0.9396100808368996,maintained,3.673469387755102,0.1821862348178138,99.52483618429608,True
ERA,Erragadda,800,night,46,50,326,108.66666666666667,0.6200665715644318,maintained,5.625,0.27607361963190186,99.52483618429608,True
GAB,Gandhi Bhavan,300,evening_peak,34,20,296,74.0,1.0,maintained,3.3333333333333335,0.4054054054054055,237.05737154639922,True
GAB,Gandhi Bhavan,300,late_night,6,2,11,2.2,0.02972972972972973,collapsed,75.0,13.636363636363637,259.5359624583906,True
GAB,Gandhi Bhavan,300,midday,34,22,362,60.333333333333336,0.8153153153153153,maintained,4.864864864864865,0.4972375690607735,237.05737154639922,True
GAB,Gandhi Bhavan,300,morning_peak,28,14,179,59.666666666666664,0.8063063063063063,maintained,4.7368421052631575,0.5027932960893855,237.05737154639922,True
GAB,Gandhi Bhavan,300,night,16,15,143,47.666666666666664,0.6441441441441441,maintained,5.625,0.6293706293706294,237.05737154639922,True
GAB,Gandhi Bhavan,500,evening_peak,95,73,841,210.25,1.0,maintained,2.7586206896551726,0.14268727705112957,237.05737154639922,True
GAB,Gandhi Bhavan,500,late_night,10,6,17,3.4,0.016171224732461353,collapsed,75.0,8.823529411764705,259.5359624583906,True
GAB,Gandhi Bhavan,500,midday,93,69,1122,187.0,0.8894173602853745,maintained,2.6666666666666665,0.16042780748663105,237.05737154639922,True
GAB,Gandhi Bhavan,500,morning_peak,84,59,637,212.33333333333334,1.0099088386841062,maintained,3.103448275862069,0.141287284144427,237.05737154639922,True
GAB,Gandhi Bhavan,500,night,47,37,293,97.66666666666667,0.46452635751089977,maintained,5.625,0.30716723549488056,237.05737154639922,True
GAB,Gandhi Bhavan,800,evening_peak,104,77,909,227.25,1.0,maintained,2.7586206896551726,0.132013201320132,237.05737154639922,True
GAB,Gandhi Bhavan,800,late_night,12,8,26,5.2,0.02288228822882288,collapsed,37.5,5.769230769230769,259.5359624583906,True
GAB,Gandhi Bhavan,800,midday,104,72,1236,206.0,0.9064906490649065,maintained,2.6666666666666665,0.14563106796116507,237.05737154639922,True
GAB,Gandhi Bhavan,800,morning_peak,89,62,695,231.66666666666666,1.0194352768610193,maintained,3.103448275862069,0.12949640287769784,237.05737154639922,True
GAB,Gandhi Bhavan,800,night,52,40,333,111.0,0.4884488448844885,maintained,5.454545454545454,0.27027027027027034,237.05737154639922,True
GNH,Gandhi Hospital,300,evening_peak,38,34,311,77.75,1.0,maintained,7.0588235294117645,0.38585209003215437,149.30638585167708,True
